dcode,dname,oct_60,nov_60,dec_60,jan_61,feb_61,mar_61,apr_61,may_61,jun_61,jul_61,aug_61,sep_61
1033,คลองเตย,9273.45,8864.92,8808.67,8952.41,8583.18,9397.08,8712.35,9585.28,9290.67,9346.7,9629.9,9213.72
1018,คลองสาน,3953.14,3741.27,3771.21,3862.31,3630.11,3967.8,3725.06,4045.37,3797.35,3722.18,3868.45,3534.99
1046,คลองสามวา,6536.56,6020.13,6098.24,6346.98,5499.77,6562.01,5635.02,6388.36,6258.45,5821.24,6048.6,5570.11
1043,คันนายาว,4562.05,4257.13,4452.33,4644.34,4153.56,4600.69,4237.22,5109.66,4733.23,4637.76,4886.96,4657.03
1030,จตุจักร,13190.9,12824.3,12606.3,12679.5,11775.1,13805.8,12403.8,14280.4,13604.8,13543.3,13763.9,13194.2
1035,จอมทอง,6265.85,6034.12,6134.88,6368.86,5988.34,6527.37,6200.64,7029.14,6733.89,6498.68,6830.38,6077.26
1036,ดอนเมือง,6486.68,6140.07,6080.85,6438.03,5875.88,6741.4,6297.95,7098.63,6542.69,6827.16,6847.77,6458.73
1026,ดินแดง,9296.14,8554.03,8421.37,8698.82,8025.83,9174.8,8569.7,9490.48,9011.95,8962.59,9327.31,8830.82
1002,ดุสิต,5203.13,5172.06,5305.81,5200.54,4972.77,5439.65,4859.39,5649.7,5311.6,5080.3,5351.61,4875.39
1019,ตลิ่งชัน,4693.45,4368.31,4386.27,4516.77,4304.25,4726.93,4524.61,5099.72,4557.22,4513.84,4641.88,4212.41
1048,ทวีวัฒนา,3286.79,3153.07,2961.29,3151.01,3002.46,3505.1,3122.74,3669.53,3391.67,3379.47,3471.81,3447.39
1049,ทุ่งครุ,4632.61,4161.68,4226.75,4299.31,4124.53,4556.64,4327.12,4701.27,4304.1,4187.84,4228.74,3908.85
1015,ธนบุรี,5207.07,4860.21,4859.64,5020.51,4738.54,5143.32,4911.99,5277.54,4972.64,5165.11,5130.82,4626.99
1020,บางกอกน้อย,6213.54,5103.47,4910.06,5030.12,4783.33,5349.82,4998.14,5567.5,5167.26,5132.21,5355.15,5067.47
